store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
5.10234E+16,60,24,98.5,0,0,0
5.96913E+16,0,0,0,60,10,70
4.29954E+16,60,13,91,0,0,0
3.81289E+16,60,17,119,0,0,0
6.56617E+16,60,12.75,89.25,0,0,0
4.42825E+16,0,0,0,60,12,84
6.12496E+16,0,0,0,60,11.75,89.5
5.57513E+16,60,11,74,0,0,0
5.93688E+16,60,23.98,167.88,0,0,0
5.1688E+16,0,0,0,60,24,168
5.98243E+16,60,6,90,0,0,0
5.45155E+16,60,10.5,73.5,0,0,0
4.77898E+16,60,9,63,0,0,0
4.71575E+16,60,24,168,0,0,0
4.36481E+16,0,0,42,60,5.78,50.5
6.49204E+16,0,0,17.9,60,7.5,34.6
4.38096E+16,60,23.98,167.88,0,0,0
5.83907E+16,0,0,42,60,14,56
7.01827E+16,60,6,40.03,0,0,1.97
5.60106E+16,60,11.75,89.18,0,0,0
4.44573E+16,0,0,0,60,24,168
6.04577E+16,0,0,0,60,24,168
7.40128E+16,0,0,0,60,24,168
5.5531E+16,0,0,56.33,60,8.25,34.08
6.57646E+16,60,13.98,97.88,0,0,0
6.05337E+16,0,0,23.98,60,24,80
7.34917E+16,60,8.5,59.5,0,0,0
5.51513E+16,0,0,41.96,60,7,28.04
7.78079E+16,0,0,0,60,24,168
7.94109E+16,60,10,84,0,0,0
4.75896E+16,0,5.78,62,60,0,0
8.17064E+16,0,0,34.09,60,11.75,51.16
3.38906E+16,0,0,22.77,60,7,29.23
8.53657E+16,60,24,168,0,0,0
6.98537E+16,60,24,168,0,0,0
7.96105E+16,60,14,98,0,0,0
5.44898E+16,60,24,123.01,0,0,44.99
8.02633E+16,60,10,84,0,0,0
9.65621E+16,60,10,70,0,0,0
8.20884E+16,0,0,0,60,12,84
8.4438E+16,60,23.98,167.88,0,0,0
1.0131E+17,0,0,55.79,60,24,112.21
8.05203E+16,60,12.98,88.9,0,0,0
8.78495E+16,60,23.98,167.88,0,0,0
1.00928E+17,0,5.78,78,60,0,0
9.57399E+16,60,12.98,89.93,0,0,0
8.87124E+16,60,14.5,101.5,0,0,0
1.07275E+17,60,24,142.02,0,0,25.98
9.89686E+16,0,0,32.25,60,10.75,43
1.04916E+17,0,0,31.87,60,24,113.13
7.91357E+16,0,0,0,60,24,168
1.11536E+17,60,24,168,0,0,0
6.77175E+16,0,5.78,48,60,0,0
1.08968E+17,0,0,0,60,24,168
9.07487E+16,0,13,91,60,0,0
1.07686E+17,60,9.5,82,0,0,0
8.86282E+16,0,0,0,60,24,168
9.7883E+16,60,7.5,50.49,0,0,2.01
9.1947E+16,60,23.98,167.88,0,0,0
1.10851E+17,60,13,91,0,0,0
9.17493E+16,0,0,0,60,8.5,62.5
1.19519E+17,60,11.5,80.5,0,0,0
7.88401E+16,0,0,0,60,10,73.5
